"Computer","Value","Key"
"CHA-FILESERVER","1","SYSTEM\CurrentControlSet\Services\aswVmm\Parameters\CsrssCompat"
"CHA-DC1-V","1","SYSTEM\CurrentControlSet\Services\aswVmm\Parameters\CsrssCompat"
"CHA-169-SB","N/A","Registry access denied"
"CHA-185-WS01","1","SYSTEM\CurrentControlSet\Services\aswVmm\Parameters\CsrssCompat"
"CHA-122-WS02","1","SYSTEM\CurrentControlSet\Services\aswVmm\Parameters\CsrssCompat"
"CHA-126-WS02","1","SYSTEM\CurrentControlSet\Services\aswVmm\Parameters\CsrssCompat"
"ROPSTAFFCHA","1","SYSTEM\CurrentControlSet\Services\aswVmm\Parameters\CsrssCompat"
"CHA-CAF-WS01","1","SYSTEM\CurrentControlSet\Services\aswVmm\Parameters\CsrssCompat"
"CHA-CC-ACCT01","1","SYSTEM\CurrentControlSet\Services\aswVmm\Parameters\CsrssCompat"
"CHA-WS-289","1","SYSTEM\CurrentControlSet\Services\aswVmm\Parameters\CsrssCompat"
"CHA-250-WS01","1","SYSTEM\CurrentControlSet\Services\aswVmm\Parameters\CsrssCompat"
"CHA-265-WS01","1","SYSTEM\CurrentControlSet\Services\aswVmm\Parameters\CsrssCompat"
"CHA-ROP-SANDRA","1","SYSTEM\CurrentControlSet\Services\aswVmm\Parameters\CsrssCompat"
"CHA-AST-1","1","SYSTEM\CurrentControlSet\Services\aswVmm\Parameters\CsrssCompat"
"CHA-SUS-WS02","1","SYSTEM\CurrentControlSet\Services\aswVmm\Parameters\CsrssCompat"
"CHA-142-WS03","1","SYSTEM\CurrentControlSet\Services\aswVmm\Parameters\CsrssCompat"
"CHA-SUS-WS01","1","SYSTEM\CurrentControlSet\Services\aswVmm\Parameters\CsrssCompat"
"CHA-300","1","SYSTEM\CurrentControlSet\Services\aswVmm\Parameters\CsrssCompat"
"CHA-253-WS01","1","SYSTEM\CurrentControlSet\Services\aswVmm\Parameters\CsrssCompat"
"CHA-266-WS01","1","SYSTEM\CurrentControlSet\Services\aswVmm\Parameters\CsrssCompat"
"CHA-127-WS01","1","SYSTEM\CurrentControlSet\Services\aswVmm\Parameters\CsrssCompat"
"CHA-140-WS01","1","SYSTEM\CurrentControlSet\Services\aswVmm\Parameters\CsrssCompat"
"CHA-GP","1","SYSTEM\CurrentControlSet\Services\aswVmm\Parameters\CsrssCompat"
"CHA-256-WS01","1","SYSTEM\CurrentControlSet\Services\aswVmm\Parameters\CsrssCompat"
"CHA-122-WS03","1","SYSTEM\CurrentControlSet\Services\aswVmm\Parameters\CsrssCompat"
"CHA-255-WS02","1","SYSTEM\CurrentControlSet\Services\aswVmm\Parameters\CsrssCompat"
"CHA-130-WS01","1","SYSTEM\CurrentControlSet\Services\aswVmm\Parameters\CsrssCompat"
"CHA-126-WS01","1","SYSTEM\CurrentControlSet\Services\aswVmm\Parameters\CsrssCompat"
"BRIDGE","1","SYSTEM\CurrentControlSet\Services\aswVmm\Parameters\CsrssCompat"
"CHA-DB","1","SYSTEM\CurrentControlSet\Services\aswVmm\Parameters\CsrssCompat"
"CHA-127-WS02","1","SYSTEM\CurrentControlSet\Services\aswVmm\Parameters\CsrssCompat"
"CHA-180-WS01","1","SYSTEM\CurrentControlSet\Services\aswVmm\Parameters\CsrssCompat"
"CHA-163-WS01","1","SYSTEM\CurrentControlSet\Services\aswVmm\Parameters\CsrssCompat"
"CHA-SURFACE-01","N/A","Registry access denied"
"CHA-INT-WS02","1","SYSTEM\CurrentControlSet\Services\aswVmm\Parameters\CsrssCompat"
"CHA-WS101","NONE","Key not found"
"CHA-WS101","1","SYSTEM\CurrentControlSet\Services\aswVmm\Parameters\CsrssCompat"
"CHA-123-WS01","1","SYSTEM\CurrentControlSet\Services\aswVmm\Parameters\CsrssCompat"
"CHA-WORK-2A","1","SYSTEM\CurrentControlSet\Services\aswVmm\Parameters\CsrssCompat"
"CHA-CC-ACCT3","1","SYSTEM\CurrentControlSet\Services\aswVmm\Parameters\CsrssCompat"
"CHA-UTIL1-V","NONE","Key not found"
"CHA-UTIL1-V","1","SYSTEM\CurrentControlSet\Services\aswVmm\Parameters\CsrssCompat"
"CHA-AXIS","NONE","Key not found"
"CHA-AXIS","1","SYSTEM\CurrentControlSet\Services\aswVmm\Parameters\CsrssCompat"
"CHA-250-WS02","1","SYSTEM\CurrentControlSet\Services\aswVmm\Parameters\CsrssCompat"
"CHA-ROP-WKS01","N/A","Registry access denied"
"CHA-APPS","NONE","Key not found"
"CHA-APPS","1","SYSTEM\CurrentControlSet\Services\aswVmm\Parameters\CsrssCompat"
"CHA-252-LT","N/A","Registry access denied"
"CHA-PH-WS01B","NONE","Key not found"
"CHA-PH-WS01B","1","SYSTEM\CurrentControlSet\Services\aswVmm\Parameters\CsrssCompat"
"CHA-ACCT-01","1","SYSTEM\CurrentControlSet\Services\aswVmm\Parameters\CsrssCompat"
"CHA-ACCT-02","1","SYSTEM\CurrentControlSet\Services\aswVmm\Parameters\CsrssCompat"
"CHA-LT03","1","SYSTEM\CurrentControlSet\Services\aswVmm\Parameters\CsrssCompat"
"CHA-LT04","1","SYSTEM\CurrentControlSet\Services\aswVmm\Parameters\CsrssCompat"
"CHA-304","1","SYSTEM\CurrentControlSet\Services\aswVmm\Parameters\CsrssCompat"
